houston,60.67,0.44,20.22,0.34,21.28,0.72,772,89,102,210,66.7,50
saint-francis-pa,59.94,0.46,18.24,0.37,22.53,0.75,622,121,42,243,60,45.5
sacred-heart,60.94,0.44,23.22,0.32,19.83,0.75,742,99,67,210,25,50
brigham-young,59.65,0.49,25.1,0.4,13.65,0.71,669,113,38,263,66.7,40
miami-oh,62.11,0.44,25.72,0.35,16.28,0.73,668,91,52,225,25,33.3
richmond,59.5,0.47,23.39,0.37,14.06,0.81,598,144,50,249,66.7,63.6
toledo,58.94,0.44,25.33,0.38,21.61,0.72,711,125,71,236,66.7,33.3
wichita-state,62.56,0.41,22.94,0.33,23.39,0.69,719,141,69,302,58.3,66.7
texas-tech,57.47,0.44,21.18,0.33,20.82,0.76,610,136,63,296,66.7,62.5
north-dakota,57.25,0.47,22.55,0.34,18.55,0.78,751,88,52,211,66.7,50
marshall,62.63,0.45,22.79,0.29,18.53,0.65,724,178,119,313,66.7,22.2
western-illinois,65,0.43,22.44,0.38,14.56,0.78,558,82,33,194,37.5,50
air-force,53.63,0.48,22.37,0.39,21.74,0.78,615,96,33,220,66.7,55.6
abilene-christian,60.35,0.45,22.12,0.29,21.59,0.75,582,166,41,361,83.3,62.5
south-dakota-state,59,0.48,21.68,0.34,18.64,0.7,852,116,63,252,90,54.5
northern-iowa,56.89,0.48,24.78,0.39,16.5,0.77,672,79,33,196,57.1,71.4
evansville,56.05,0.43,23.95,0.32,20.32,0.72,622,92,43,238,66.7,41.7
akron,58.17,0.45,25.56,0.38,19.78,0.76,690,87,55,248,66.7,54.5
rhode-island,63.29,0.42,17.65,0.3,21.76,0.69,680,157,66,270,63.6,25
florida-state,59,0.46,21.61,0.34,18.06,0.76,609,177,104,336,100,60
austin-peay,58.47,0.47,19.95,0.34,21.58,0.72,650,139,60,313,63.6,57.1
pepperdine,59.37,0.43,22.68,0.35,20.05,0.83,629,114,62,269,63.6,33.3
notre-dame,63.65,0.42,28.65,0.34,15.76,0.71,676,105,75,216,63.6,40
murray-state,56.44,0.49,17.83,0.35,23.28,0.7,700,97,65,236,83.3,42.9
ohio-state,54.39,0.46,22.94,0.39,21.39,0.72,685,86,72,235,63.6,50
nevada,59.63,0.43,25.37,0.38,17.11,0.74,713,96,68,207,62.5,33.3
alcorn-state,64.5,0.43,26.94,0.39,17.5,0.74,631,142,48,238,62.5,57.1
eastern-illinois,61.11,0.45,19.56,0.35,18.89,0.69,676,137,78,287,75,27.3
villanova,59.29,0.45,27.59,0.35,15.47,0.78,614,107,55,214,62.5,60
tennessee-state,57.32,0.48,21.95,0.36,19.58,0.65,726,105,82,261,50,55.6
hampton,59.67,0.46,18.11,0.33,24.67,0.68,655,102,81,234,62.5,50
new-orleans,59.22,0.46,16.44,0.33,21.22,0.78,577,147,44,304,62.5,36.4
valparaiso,61.63,0.44,24.47,0.34,16.47,0.7,656,160,62,306,62.5,50
san-diego-state,58.58,0.47,21.53,0.37,16.47,0.75,705,125,60,287,30,100
baylor,60.5,0.43,22.38,0.35,18.75,0.7,616,134,75,250,62.5,60
depaul,59.44,0.46,18.78,0.34,20.94,0.65,693,167,106,307,62.5,75
louisville,58.28,0.46,20.83,0.39,18,0.72,718,94,56,207,62.5,66.7
maryland,57.94,0.41,23.22,0.31,22.5,0.72,730,91,88,241,62.5,45.5
bowling-green-state,64.72,0.42,24,0.32,17.78,0.75,729,103,45,232,0,66.7
south-dakota,56.15,0.48,17.55,0.41,20.65,0.75,653,90,59,213,62.5,28.6
northern-colorado,58.29,0.44,27.47,0.37,17.18,0.67,614,99,36,211,66.7,50
seton-hall,58.89,0.45,23.11,0.34,21.11,0.71,690,141,112,272,61.5,42.9
southern-california,58.56,0.44,18.56,0.36,23.5,0.66,727,123,96,243,40,83.3
james-madison,60.72,0.42,24.94,0.32,23.83,0.62,729,106,64,214,33.3,37.5
southern-utah,57.76,0.46,19.29,0.34,20,0.71,650,128,77,235,16.7,62.5
cal-state-northridge,60,0.44,21.55,0.35,19.15,0.7,669,128,56,273,50,50
oklahoma,59.53,0.43,22.53,0.32,19.35,0.77,629,107,63,204,60,50
jacksonville-state,59.21,0.45,22.47,0.35,16.89,0.68,706,124,49,269,40,60
wofford,56.58,0.46,27.42,0.37,14.47,0.74,577,111,54,235,60,27.3
kentucky,56.53,0.46,15.47,0.32,23.35,0.77,656,90,85,215,60,20
minnesota,59.89,0.43,25,0.33,17.33,0.72,712,97,93,213,60,55.6
