,0,1,2,3,4,5,6,7,8,9,10,11
67,brigham-young,26,59.38461538461539,.508,24.96153846153846,.427,13.423076923076923,.708,861,141,52,330
68,miami-oh,23,61.04347826086956,.425,25.0,.346,15.782608695652174,.722,824,119,61,298
69,richmond,23,58.21739130434783,.467,22.130434782608695,.365,16.08695652173913,.786,763,187,60,320
70,toledo,24,58.0,.440,25.083333333333332,.375,20.833333333333332,.738,910,141,82,288
71,wichita-state,23,61.608695652173914,.403,23.391304347826086,.316,22.17391304347826,.690,897,171,80,357
72,texas-tech,23,56.08695652173913,.448,20.17391304347826,.345,20.608695652173914,.762,796,175,92,377
73,north-dakota,25,56.48,.461,23.16,.349,19.48,.772,910,115,56,279
74,marshall,25,63.2,.448,24.04,.298,17.52,.648,950,221,143,403
75,western-illinois,21,63.904761904761905,.429,22.761904761904763,.368,14.0,.789,710,112,49,255
76,air-force,24,54.583333333333336,.456,22.916666666666668,.380,20.958333333333332,.748,779,120,38,271
77,abilene-christian,23,59.391304347826086,.441,22.782608695652176,.311,21.565217391304348,.738,791,212,60,467
78,south-dakota-state,26,58.23076923076923,.489,20.884615384615383,.354,18.307692307692307,.702,1006,133,85,292
79,northern-iowa,24,56.291666666666664,.485,23.916666666666668,.401,16.75,.766,894,112,53,257
80,evansville,25,56.08,.424,23.96,.314,18.36,.725,815,120,58,296
81,akron,23,58.17391304347826,.444,25.52173913043478,.382,18.869565217391305,.776,856,111,67,321
82,rhode-island,23,61.56521739130435,.437,17.608695652173914,.328,22.391304347826086,.689,902,203,89,354
83,florida-state,23,59.08695652173913,.461,21.304347826086957,.365,17.17391304347826,.777,788,207,130,400
84,austin-peay,25,58.64,.465,20.08,.351,21.6,.730,873,174,77,394
85,pepperdine,25,59.84,.439,22.68,.358,20.88,.801,835,153,84,351
86,notre-dame,23,62.65217391304348,.430,28.47826086956522,.351,16.52173913043478,.745,883,131,90,278
87,murray-state,24,56.0,.482,18.25,.368,22.458333333333332,.718,916,127,90,311
