,0,1,2,3,4,5,6,7,8,9,10,11
300,high-point,24,55.041666666666664,.397,20.5,.315,22.125,.712,834,120,87,293
301,south-florida,23,53.130434782608695,.411,20.608695652173914,.314,20.130434782608695,.633,779,184,51,366
302,montana,24,58.083333333333336,.463,16.0,.357,15.833333333333334,.732,769,148,84,341
303,cornell,19,57.421052631578945,.432,23.94736842105263,.305,15.210526315789474,.696,648,131,52,236
304,dartmouth,21,55.23809523809524,.434,21.857142857142858,.322,14.19047619047619,.654,730,100,51,260
305,presbyterian,25,53.68,.445,19.52,.318,17.88,.711,853,152,49,300
306,oakland,25,54.28,.421,20.2,.295,20.24,.694,894,150,73,308
307,southern-illinois,25,50.92,.433,20.92,.342,16.88,.730,766,160,46,336
308,cal-state-fullerton,25,55.0,.429,18.84,.331,20.04,.681,824,141,75,333
309,southeast-missouri-state,25,55.4,.419,18.12,.325,19.6,.669,821,135,53,323
310,denver,25,54.84,.443,15.72,.331,21.2,.679,819,147,52,323
311,cleveland-state,25,53.44,.414,12.36,.288,22.76,.682,859,200,67,368
312,alabama-birmingham,25,53.84,.449,16.28,.319,17.56,.690,923,139,73,299
313,cal-poly,23,55.34782608695652,.423,18.47826086956522,.346,19.304347826086957,.682,738,150,60,311
314,njit,23,57.65217391304348,.408,19.217391304347824,.310,17.0,.680,771,130,63,284
315,mount-st-marys,24,56.5,.398,22.208333333333332,.302,18.833333333333332,.692,871,123,79,291
316,texas-am-corpus-christi,24,52.041666666666664,.428,20.625,.362,17.25,.698,827,137,74,305
317,tennessee-tech,25,58.88,.412,24.4,.330,12.2,.675,879,161,80,344
318,old-dominion,25,59.64,.403,19.36,.281,16.44,.696,982,176,81,320
319,north-carolina-at,25,60.6,.416,19.44,.298,24.12,.619,981,210,91,406
320,merrimack,25,54.64,.420,23.16,.323,14.12,.688,727,256,70,441
321,fairfield,23,52.73913043478261,.403,15.478260869565217,.317,17.434782608695652,.703,788,120,66,282
322,mississippi-valley-state,22,68.27272727272727,.362,27.59090909090909,.282,14.272727272727273,.656,776,148,63,301
323,sacramento-state,22,54.77272727272727,.400,15.363636363636363,.296,16.772727272727273,.724,785,145,84,306
324,navy,23,53.78260869565217,.417,21.91304347826087,.310,17.782608695652176,.694,822,125,33,274
325,manhattan,21,56.333333333333336,.398,23.904761904761905,.319,18.952380952380953,.626,745,156,78,331
326,central-connecticut-state,25,56.92,.391,18.16,.341,16.56,.657,780,169,81,336
327,fordham,22,54.22727272727273,.383,22.727272727272727,.328,14.545454545454545,.616,725,163,62,319
328,florida-gulf-coast,26,55.53846153846154,.404,23.0,.303,13.461538461538462,.691,888,159,103,361
329,wyoming,25,51.12,.408,23.4,.299,16.0,.715,735,125,51,308
330,florida-am,21,58.476190476190474,.414,13.238095238095237,.288,20.761904761904763,.644,722,154,38,323
331,maine,24,53.583333333333336,.411,23.291666666666668,.286,15.0,.700,798,158,81,288
332,alabama-state,23,55.391304347826086,.395,21.52173913043478,.319,18.0,.630,728,130,40,313
333,texas-am,22,52.86363636363637,.383,21.40909090909091,.257,21.454545454545453,.678,784,141,73,321
334,marist,21,55.61904761904762,.388,21.238095238095237,.336,16.61904761904762,.628,723,147,62,297
335,kennesaw-state,23,55.52173913043478,.352,16.08695652173913,.249,18.695652173913043,.702,768,118,41,288
336,virginia,22,51.04545454545455,.407,19.272727272727273,.288,13.772727272727273,.703,764,122,97,272
337,maryland-eastern-shore,23,56.869565217391305,.357,22.782608695652176,.242,14.173913043478262,.620,752,172,78,342
338,arkansas-pine-bluff,22,48.54545454545455,.397,13.545454545454545,.289,16.954545454545453,.598,672,165,73,316
