,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
451,USC,70,louisiana-state,68,61,.410,31,.355,14,.643,38,6,8,16,1,68,.368,18,.167,22,.682,40,4,5,15,45.50
452,louisiana-state,74,Liberty,57,60,.533,10,.400,7,.857,31,9,4,6,75.00,49,.408,25,.320,9,1.000,25,3,2,13,0
453,louisiana-state,78,Tennessee,64,60,.467,21,.476,14,.857,31,8,4,7,45.50,60,.400,26,.500,5,.600,25,4,4,14,1
454,louisiana-state,79,Arkansas,77,66,.409,15,.267,28,.750,49,1,5,12,75.00,58,.448,25,.320,18,.944,21,8,4,6,0
455,Mississippi-State,59,louisiana-state,60,56,.339,17,.176,21,.857,44,3,5,16,0,59,.373,21,.095,23,.609,27,13,5,8,75.00
456,louisiana-state,89,Texas-AM,85,60,.483,38,.368,20,.850,44,1,4,19,45.50,72,.389,35,.400,23,.652,25,4,2,6,1
457,louisiana-state,80,Ole-Miss,76,57,.421,21,.381,27,.889,42,3,5,16,45.50,65,.446,23,.391,19,.474,26,10,1,10,1
458,louisiana-state,84,Florida,82,61,.475,14,.143,31,.774,35,7,1,11,75.00,61,.508,30,.367,11,.818,28,5,3,12,0
459,louisiana-state,69,Texas,67,54,.444,16,.313,20,.800,33,7,2,16,45.50,58,.483,26,.308,6,.500,23,6,4,13,1
460,Alabama,76,louisiana-state,90,73,.411,38,.263,10,.600,30,3,5,9,0,67,.507,16,.188,20,.950,45,8,3,12,75.00
461,new-mexico,92,Eastern-New-Mexico,71,55,.600,20,.350,26,.731,33,6,7,21,75.00,67,.373,24,.333,20,.650,31,9,1,20,0
462,Cal-State-Northridge,70,new-mexico,97,63,.444,23,.348,13,.462,23,3,2,15,0,60,.600,16,.375,26,.731,33,6,3,12,75.00
463,Green-Bay,78,new-mexico,93,75,.400,33,.303,11,.727,32,6,2,16,0,65,.477,22,.409,28,.786,42,10,2,18,75.00
464,McNeese-State,80,new-mexico,90,55,.509,29,.448,14,.786,26,7,7,21,0,59,.475,20,.400,35,.743,36,17,2,15,75.00
465,UTEP,66,new-mexico,63,56,.429,28,.250,13,.846,28,9,2,16,1,49,.388,19,.263,31,.645,36,7,2,18,33.30
466,New-Mexico-State,77,new-mexico,78,64,.438,33,.212,18,.778,33,7,0,13,1,52,.538,15,.267,24,.750,25,7,1,16,33.30
467,new-mexico,59,Auburn,84,62,.403,19,.211,9,.556,41,6,1,24,33.30,76,.421,38,.316,20,.400,44,14,6,10,1
468,new-mexico,59,Wisconsin,50,50,.440,13,.231,15,.800,31,3,1,13,33.30,53,.340,26,.077,16,.750,33,5,1,12,1
469,new-mexico,72,Montana,63,51,.431,13,.462,35,.629,38,3,5,9,75.00,60,.433,22,.318,7,.571,26,5,5,6,0
470,new-mexico,80,Boise-State,78,57,.509,14,.214,25,.760,25,7,5,6,75.00,53,.509,28,.500,14,.714,24,1,2,12,0
471,new-mexico,79,Wyoming,65,60,.483,17,.294,20,.800,44,10,4,19,33.30,64,.375,28,.357,12,.583,26,9,0,12,1
472,new-mexico,69,New-Mexico-State,62,50,.420,16,.250,28,.821,31,14,2,16,75.00,55,.436,28,.357,10,.400,30,10,5,22,0
473,new-mexico,91,Grand-Canyon,71,56,.554,26,.538,16,.938,33,5,1,16,75.00,60,.483,11,.182,15,.733,21,8,1,10,0
474,Houston-Baptist,88,new-mexico,107,66,.515,24,.375,17,.647,25,7,1,14,0,64,.641,19,.316,30,.633,32,10,4,10,75.00
475,new-mexico,74,UC-Davis,69,55,.436,16,.188,35,.657,40,11,2,21,75.00,58,.414,26,.423,17,.588,31,9,1,20,0
476,new-mexico,85,San-Jose-State,88,61,.492,24,.250,27,.704,36,7,3,18,33.30,67,.478,33,.364,20,.600,33,10,5,12,1
477,Fresno-State,64,new-mexico,78,64,.375,21,.286,19,.526,41,4,2,10,0,58,.466,22,.409,21,.714,32,5,4,8,75.00
478,Air-Force,78,new-mexico,84,71,.423,28,.286,14,.714,28,9,0,15,0,52,.577,17,.353,25,.720,31,9,10,20,75.00
479,Colorado-State,105,new-mexico,72,64,.594,28,.679,11,.909,35,12,2,19,1,59,.508,18,.333,11,.545,21,13,1,21,33.30
480,new-mexico,78,UNLV,99,63,.413,26,.385,22,.727,30,3,3,15,33.30,75,.507,26,.308,18,.833,44,10,3,10,1
481,Campbell,75,coastal-carolina,74,62,.387,34,.353,15,1.000,29,7,3,7,0,60,.483,22,.364,16,.500,38,2,5,12,75.00
482,coastal-carolina,102,Hampden-Sydney,66,76,.526,28,.429,14,.714,36,12,10,9,75.00,59,.356,18,.333,25,.720,31,2,1,18,0
483,Northern-Kentucky,69,coastal-carolina,68,54,.463,26,.385,16,.563,29,10,3,14,0,54,.389,17,.294,28,.750,32,5,1,12,75.00
484,Middle-Tennessee,72,coastal-carolina,93,63,.397,26,.423,18,.611,34,7,3,18,0,68,.456,21,.333,34,.706,42,12,4,9,75.00
485,Utah,57,coastal-carolina,79,57,.333,28,.179,25,.560,36,3,1,14,0,64,.453,24,.458,16,.625,35,7,6,10,75.00
486,coastal-carolina,65,Baylor,77,45,.511,14,.643,15,.667,26,4,3,22,14.30,54,.481,27,.333,20,.800,22,9,1,11,1
487,Mississippi-State,81,coastal-carolina,56,55,.527,23,.435,21,.619,32,7,6,14,0,54,.352,16,.188,19,.789,27,7,1,15,75.00
488,coastal-carolina,92,Delaware-State,77,62,.468,27,.519,30,.667,47,5,4,18,14.30,63,.349,29,.310,33,.727,26,7,0,9,1
489,Greensboro,79,coastal-carolina,114,70,.400,39,.436,10,.600,25,7,2,20,0,70,.586,23,.391,33,.697,43,15,2,11,75.00
490,Winthrop,88,coastal-carolina,92,61,.459,35,.371,31,.613,34,6,1,15,1,53,.509,21,.524,35,.771,34,14,3,19,14.30
491,coastal-carolina,91,North-Carolina-Central,71,56,.571,18,.500,19,.947,29,10,5,15,75.00,61,.426,25,.280,19,.632,32,10,0,19,0
492,coastal-carolina,59,Troy,77,67,.358,21,.143,12,.667,37,7,2,17,14.30,57,.404,30,.400,25,.760,36,5,3,16,1
493,South-Alabama,69,coastal-carolina,81,59,.356,26,.308,25,.760,29,6,8,10,1,64,.469,14,.500,26,.538,50,7,6,14,14.30
494,Georgia-Southern,70,coastal-carolina,67,60,.367,38,.395,15,.733,35,5,7,13,0,61,.410,21,.238,22,.545,37,6,0,14,75.00
495,coastal-carolina,74,Georgia-State,72,65,.385,24,.292,26,.654,37,13,2,21,75.00,67,.418,26,.308,14,.571,39,14,3,23,0
496,coastal-carolina,93,Louisiana-Monroe,64,62,.548,30,.367,19,.737,42,9,3,17,75.00,51,.373,23,.391,22,.773,22,6,3,15,0
497,Texas-State,78,coastal-carolina,66,53,.396,21,.333,39,.744,31,10,2,8,1,60,.417,24,.333,14,.571,31,5,2,17,14.30
498,coastal-carolina,82,Texas-Arlington,77,66,.379,26,.308,30,.800,46,7,3,15,14.30,68,.412,26,.231,17,.882,32,8,4,10,1
499,Little-Rock,71,coastal-carolina,55,55,.509,18,.389,15,.533,41,11,10,21,0,73,.315,25,.200,7,.571,36,12,2,17,75.00
500,coastal-carolina,75,Arkansas-State,80,59,.424,31,.323,21,.714,36,9,2,18,75.00,52,.404,24,.417,39,.718,34,4,4,15,0
501,santa-clara,97,UC-Santa-Cruz,52,68,.559,32,.344,12,.833,40,14,3,15,75.00,54,.333,17,.118,22,.636,28,7,1,22,0
502,santa-clara,77,Cal-Poly,63,49,.469,10,.300,37,.757,30,8,4,12,75.00,58,.397,13,.385,18,.667,31,3,0,15,0
503,santa-clara,70,Washington-State,62,53,.472,16,.313,17,.882,43,8,5,21,75.00,67,.328,29,.241,17,.647,29,12,1,14,0
504,santa-clara,64,Stanford,82,55,.382,21,.286,21,.762,28,4,1,17,40.00,52,.500,10,.400,35,.743,36,8,2,12,1
505,Notre-Dame-de-Namur,54,santa-clara,101,60,.317,30,.233,17,.529,30,2,1,9,0,71,.451,38,.447,24,.833,50,4,5,5,75.00
506,Idaho-State,65,santa-clara,78,51,.373,17,.412,30,.667,28,8,0,21,0,52,.596,14,.429,12,.833,25,10,6,21,75.00
507,Denver,64,santa-clara,81,59,.458,13,.308,9,.667,31,10,1,18,0,63,.508,28,.250,14,.714,34,9,5,14,75.00
508,Southeast-Missouri-State,75,santa-clara,87,50,.460,15,.267,33,.758,24,9,3,14,0,56,.554,22,.545,22,.591,30,3,6,14,75.00
509,santa-clara,70,Cal-State-Fullerton,55,55,.491,28,.250,16,.563,34,6,2,12,75.00,55,.345,16,.250,16,.813,35,4,2,14,0
510,Nevada,98,santa-clara,67,64,.531,28,.500,27,.593,48,6,4,11,1,68,.353,29,.138,25,.600,32,6,3,8,40.00
511,santa-clara,71,California,52,51,.431,17,.471,23,.826,37,4,2,20,75.00,49,.286,13,.231,26,.808,28,10,1,17,0
512,santa-clara,60,Sacramento-State,58,58,.414,14,.143,10,1.000,25,9,6,10,75.00,47,.362,14,.500,23,.739,33,6,2,19,0
513,San-Jose-State,84,santa-clara,89,57,.456,24,.375,31,.742,33,8,3,20,0,52,.558,17,.412,32,.750,22,7,5,15,75.00
514,santa-clara,100,Mississippi-Valley-State,71,72,.528,32,.438,12,.833,43,6,6,15,75.00,68,.426,20,.400,8,.625,26,7,2,15,0
515,Alcorn-State,57,santa-clara,92,64,.328,14,.357,12,.833,23,11,2,11,0,53,.585,23,.696,17,.824,38,3,7,15,75.00
516,San-Diego,63,santa-clara,80,47,.426,22,.500,20,.600,26,6,0,18,0,54,.537,27,.407,15,.733,30,8,4,12,75.00
517,santa-clara,61,San-Francisco,80,58,.328,12,.333,23,.826,23,9,3,10,40.00,55,.527,22,.364,17,.824,43,6,12,16,1
518,santa-clara,67,Saint-Mary's,66,59,.458,12,.333,11,.818,30,6,3,11,40.00,55,.364,17,.412,23,.826,36,7,4,13,1
519,Gonzaga,104,santa-clara,54,66,.515,21,.381,32,.875,46,11,7,10,1,69,.304,25,.120,19,.474,32,6,2,14,40.00
520,santa-clara,84,Pacific,80,43,.558,15,.333,38,.816,24,6,3,11,75.00,65,.431,21,.333,28,.607,32,3,2,9,0
521,buffalo,63,Dartmouth,68,68,.353,35,.286,13,.385,37,9,2,16,75.00,59,.458,16,.250,15,.667,37,8,3,16,0
522,Nazareth,72,buffalo,109,63,.429,23,.391,12,.750,28,5,2,19,0,71,.563,31,.516,31,.419,41,16,5,9,75.00
523,buffalo,88,Harvard,76,69,.449,26,.500,15,.867,35,6,6,13,57.10,65,.369,23,.261,29,.759,39,6,9,17,1
524,UConn,79,buffalo,68,62,.484,18,.389,21,.571,45,5,7,17,1,72,.361,24,.208,13,.846,39,11,7,9,57.10
525,buffalo,76,Towson,73,72,.361,31,.258,23,.696,38,6,3,12,57.10,59,.424,13,.231,26,.769,38,9,6,21,1
526,Missouri-State,74,buffalo,75,63,.476,16,.313,16,.563,38,5,3,10,1,65,.415,29,.310,17,.706,33,6,4,9,57.10
527,William--Mary,77,buffalo,88,56,.500,21,.381,17,.765,28,5,2,18,0,62,.548,23,.435,20,.500,32,15,4,15,75.00
528,Vanderbilt,90,buffalo,76,69,.464,18,.222,26,.846,41,8,6,13,1,68,.397,23,.217,27,.630,40,5,2,17,57.10
529,buffalo,74,DePaul,69,70,.371,31,.323,16,.750,47,12,4,18,57.10,65,.415,23,.348,18,.389,35,11,11,18,1
530,buffalo,76,Army,89,62,.484,24,.208,20,.550,30,11,5,19,75.00,64,.547,20,.500,15,.600,35,8,0,18,0
531,buffalo,82,Canisius,73,67,.493,24,.292,18,.500,46,8,5,17,75.00,61,.377,23,.348,27,.704,28,8,3,15,0
532,buffalo,92,Niagara,72,60,.583,31,.516,6,1.000,39,6,3,19,75.00,69,.420,20,.350,8,.875,21,11,3,8,0
533,St-Bonaventure,79,buffalo,84,77,.442,20,.200,9,.778,36,6,6,14,0,60,.433,21,.429,30,.767,38,9,4,18,75.00
534,Northern-Illinois,73,buffalo,72,54,.537,20,.450,14,.429,37,4,2,15,0,69,.348,33,.273,24,.625,36,10,3,6,75.00
535,Ball-State,88,buffalo,68,71,.479,27,.370,11,.909,33,9,2,7,1,66,.455,18,.167,10,.500,34,3,6,14,57.10
536,Miami-(OH),78,buffalo,83,64,.422,22,.318,25,.680,38,5,3,12,1,64,.469,18,.444,24,.625,38,8,6,11,57.10
537,Ohio,73,buffalo,76,66,.439,18,.333,14,.643,33,3,3,12,0,62,.484,21,.238,14,.786,36,7,6,14,75.00
538,buffalo,86,Central-Michigan,67,73,.452,25,.400,12,.833,45,9,8,14,57.10,73,.342,22,.227,16,.750,41,7,5,16,1
539,buffalo,90,Western-Michigan,79,72,.486,22,.227,20,.750,34,7,2,6,75.00,52,.500,17,.471,26,.731,31,4,2,14,0
540,Kent-State,70,buffalo,66,60,.450,22,.364,8,1.000,34,11,7,16,0,65,.415,25,.320,9,.444,33,7,4,18,75.00
541,Mississippi-Valley-State,74,iowa-state,110,73,.411,29,.379,8,.375,35,3,0,21,0,87,.517,35,.371,11,.636,48,15,7,10,72.70
542,Oregon-State,80,iowa-state,74,59,.492,21,.571,17,.588,36,5,6,14,1,68,.441,21,.333,11,.636,32,4,5,10,66.70
543,Northern-Illinois,52,iowa-state,70,60,.300,24,.292,16,.563,43,5,2,19,0,60,.433,25,.120,22,.682,35,10,8,9,72.70
544,Southern-Miss,45,iowa-state,73,66,.333,16,.000,2,.500,32,4,1,14,0,52,.442,22,.227,30,.733,37,6,4,9,72.70
545,iowa-state,76,Michigan,83,69,.435,21,.238,17,.647,26,15,4,9,66.70,52,.577,21,.476,18,.722,35,5,3,22,1
546,iowa-state,104,Alabama,89,69,.522,29,.517,24,.708,31,5,8,11,66.70,74,.419,26,.462,18,.833,44,8,3,17,1
547,Seton-Hall,84,iowa-state,76,63,.540,20,.400,12,.667,38,8,2,17,1,64,.453,27,.333,12,.750,22,8,2,13,66.70
548,iowa-state,79,UMKC,61,52,.500,21,.238,26,.846,36,10,5,15,72.70,55,.455,18,.222,10,.700,23,8,0,16,0
549,Seton-Hall,66,iowa-state,76,68,.368,30,.267,12,.667,35,10,2,20,0,60,.383,19,.211,33,.788,40,9,8,16,72.70
550,iowa-state,68,Iowa,84,69,.420,26,.231,7,.571,33,5,5,11,72.70,65,.431,28,.357,20,.900,40,8,1,11,0
551,Purdue-Fort-Wayne,59,iowa-state,89,66,.333,29,.241,12,.667,39,5,2,15,0,63,.556,30,.467,10,.500,34,8,7,8,72.70
552,Florida-AM,70,iowa-state,68,57,.509,7,.571,15,.533,27,13,3,13,0,54,.463,20,.400,14,.714,32,9,2,18,72.70
553,iowa-state,79,TCU,81,61,.443,17,.353,27,.704,35,5,2,12,66.70,58,.517,27,.519,17,.412,29,4,7,16,1
554,Kansas,79,iowa-state,53,54,.519,19,.526,17,.765,33,10,2,12,0,58,.345,28,.286,9,.556,27,9,4,12,72.70
555,iowa-state,81,Oklahoma,68,67,.478,32,.375,7,.714,32,9,1,9,72.70,44,.477,22,.409,24,.708,23,6,3,14,0
556,Baylor,68,iowa-state,55,62,.403,20,.250,22,.591,39,6,4,11,1,58,.397,23,.261,6,.500,30,5,6,12,66.70
557,iowa-state,52,Texas-Tech,72,56,.357,22,.136,11,.818,26,3,1,18,66.70,46,.543,21,.429,15,.867,21,9,5,15,1
558,iowa-state,89,Oklahoma-State,82,49,.510,24,.458,33,.848,38,5,4,19,72.70,69,.420,25,.400,21,.667,29,12,2,8,0
559,Auburn,80,iowa-state,76,60,.450,28,.357,24,.667,36,5,4,14,1,69,.362,27,.259,23,.826,41,10,3,9,66.70
560,Baylor,67,iowa-state,53,62,.452,20,.200,9,.778,37,9,5,10,0,50,.360,17,.235,15,.867,26,5,2,16,72.70
561,Hiram,58,kent-state,97,63,.333,27,.333,12,.583,32,5,3,20,0,83,.434,35,.371,18,.667,49,13,5,8,72.70
562,kent-state,84,Towson,80,66,.424,27,.333,24,.792,38,7,8,7,66.70,68,.368,25,.240,30,.800,33,4,3,8,1
563,Wright-State,71,kent-state,72,62,.419,23,.348,17,.647,30,5,2,13,1,55,.455,22,.364,20,.700,35,7,3,17,66.70
564,Purdue-Fort-Wayne,68,kent-state,75,60,.433,20,.450,9,.778,33,4,4,15,0,64,.422,29,.345,16,.688,35,9,7,11,72.70
565,kent-state,89,Concord,59,73,.452,33,.333,16,.750,41,11,5,11,72.70,60,.383,30,.333,6,.500,29,7,1,20,0
566,Ohio-State,71,kent-state,52,48,.438,19,.368,30,.733,36,4,1,14,1,57,.368,25,.240,7,.571,25,5,2,13,66.70
567,kent-state,77,Stetson,53,63,.476,25,.280,13,.769,36,6,6,10,72.70,61,.328,18,.222,10,.900,28,4,2,16,0
568,Detroit,57,kent-state,92,62,.290,22,.273,18,.833,28,9,4,16,0,68,.515,26,.308,16,.875,41,9,10,12,72.70
569,Cleveland-State,59,kent-state,81,53,.415,23,.261,15,.600,30,5,1,18,0,63,.524,19,.316,12,.750,29,11,6,8,72.70
570,UC-Irvine,74,kent-state,68,61,.459,14,.286,18,.778,32,6,2,13,1,52,.423,27,.407,15,.867,30,6,6,19,66.70
571,North-Carolina-AT,71,kent-state,85,63,.349,18,.500,24,.750,46,4,3,21,1,66,.409,33,.303,32,.656,35,3,3,10,66.70
572,Hampton,64,kent-state,103,52,.404,17,.294,23,.739,20,2,2,12,0,61,.574,28,.464,25,.800,39,6,3,5,72.70
573,kent-state,68,Mississippi-State,96,61,.410,23,.261,16,.750,25,7,1,14,66.70,56,.554,13,.385,38,.763,37,7,5,12,1
574,kent-state,79,Bowling-Green-State,61,60,.500,17,.471,16,.688,35,7,1,12,66.70,62,.419,23,.130,12,.500,32,2,1,11,1
575,Toledo,77,kent-state,84,60,.400,27,.444,21,.810,27,5,0,13,0,63,.524,19,.474,10,.900,31,7,3,12,72.70
576,Central-Michigan,73,kent-state,79,64,.406,22,.364,20,.650,32,7,3,12,0,59,.458,21,.429,24,.667,40,6,3,14,72.70
577,Miami-(OH),77,kent-state,74,46,.500,18,.444,35,.657,29,5,2,12,1,55,.473,30,.467,15,.533,27,5,3,17,66.70
578,Western-Michigan,67,kent-state,63,61,.410,17,.412,14,.714,29,7,1,10,1,55,.455,19,.316,8,.875,26,6,4,13,66.70
579,kent-state,69,Northern-Illinois,76,61,.410,30,.333,15,.600,25,5,7,9,72.70,58,.448,15,.467,21,.810,42,5,3,11,0
580,Buffalo,66,kent-state,70,65,.415,25,.320,9,.444,33,7,4,18,1,60,.450,22,.364,8,1.000,34,11,7,16,66.70
581,Tulsa,80,houston-baptist,72,62,.452,14,.214,27,.778,36,12,2,11,1,67,.358,29,.310,18,.833,40,7,2,16,28.60
582,houston-baptist,81,Oral-Roberts,95,71,.394,26,.346,23,.696,33,6,4,16,28.60,78,.436,29,.310,26,.692,47,10,4,16,1
583,Texas-Tech,103,houston-baptist,74,67,.597,16,.438,24,.667,44,12,5,22,1,66,.394,26,.385,18,.667,27,9,2,18,28.60
584,houston-baptist,68,Michigan,111,71,.366,23,.348,13,.615,32,5,0,19,28.60,77,.558,29,.483,16,.688,42,9,4,12,1
585,houston-baptist,73,Houston,112,65,.354,23,.348,26,.731,28,5,0,15,28.60,69,.522,21,.524,37,.784,47,7,11,8,1
586,Dayton,99,houston-baptist,68,69,.594,25,.360,14,.571,36,10,4,11,1,57,.386,21,.381,26,.615,28,3,2,17,28.60
587,Samford,113,houston-baptist,90,57,.649,21,.619,32,.813,33,7,2,14,0,67,.522,26,.423,18,.500,29,6,4,13,72.70
588,houston-baptist,84,Rice,96,66,.515,26,.385,11,.545,37,5,0,17,28.60,66,.530,30,.367,22,.682,28,9,2,11,1
589,Stephen-F-Austin,96,houston-baptist,68,65,.492,16,.313,35,.771,46,9,9,14,1,63,.333,20,.450,20,.850,28,7,3,21,28.60
590,New-Mexico,107,houston-baptist,88,64,.641,19,.316,30,.633,32,10,4,10,1,66,.515,24,.375,17,.647,25,7,1,14,28.60
591,Central-Arkansas,107,houston-baptist,111,77,.429,37,.297,39,.769,41,7,3,14,0,70,.529,18,.333,39,.795,42,6,3,11,72.70
592,Northwestern-State,106,houston-baptist,79,58,.603,20,.500,31,.839,33,5,6,19,1,48,.438,13,.462,45,.689,20,3,0,20,28.60
593,houston-baptist,92,Lamar,102,70,.500,21,.333,17,.882,34,5,2,15,72.70,55,.600,15,.600,33,.818,24,6,3,14,0
594,houston-baptist,98,New-Orleans,106,62,.548,18,.500,33,.636,31,4,5,16,72.70,72,.528,22,.318,33,.697,33,9,7,8,0
595,Sam-Houston-State,95,houston-baptist,75,60,.550,17,.412,28,.786,29,10,2,13,0,56,.411,20,.200,31,.806,29,6,3,19,72.70
596,houston-baptist,83,Nicholls-State,91,60,.450,21,.381,25,.840,33,4,0,19,28.60,66,.500,23,.304,22,.818,26,7,8,13,1
597,McNeese-State,102,houston-baptist,89,60,.583,20,.450,33,.697,35,8,3,11,1,82,.390,25,.320,25,.680,45,5,2,10,28.60
598,houston-baptist,82,Incarnate-Word,84,56,.464,16,.438,30,.767,36,4,3,13,72.70,61,.525,25,.440,12,.750,25,10,1,12,0
599,Texas-AM-Corpus-Christi,77,houston-baptist,82,64,.500,11,.273,18,.556,29,12,5,16,0,57,.456,16,.375,31,.774,37,7,5,19,72.70
600,Southeastern-Louisiana,76,houston-baptist,79,78,.372,24,.250,19,.632,39,10,1,11,1,55,.491,24,.458,20,.700,41,3,3,23,28.60
601,Sonoma-State,50,san-francisco,101,57,.368,17,.294,3,1.000,21,2,0,16,0,73,.466,44,.318,22,.864,52,9,2,12,71.40
602,san-francisco,82,Princeton,72,68,.456,23,.304,17,.765,44,3,2,10,50.00,58,.448,18,.389,21,.619,32,6,3,11,1
603,san-francisco,84,Yale,79,70,.414,29,.276,23,.783,45,6,2,10,71.40,63,.381,27,.370,28,.750,33,5,4,7,0
604,san-francisco,76,Southern-Illinois,60,61,.492,32,.344,7,.714,35,7,3,13,50.00,48,.458,14,.357,16,.688,19,6,3,12,1
605,Cal-State-Bakersfield,70,san-francisco,100,60,.467,7,.429,15,.733,28,6,5,14,0,54,.574,25,.760,24,.792,26,8,3,11,71.40
606,san-francisco,90,Sam-Houston-State,81,62,.468,34,.324,28,.750,36,7,2,11,71.40,60,.483,26,.500,13,.769,31,4,4,13,0
607,Hampton,73,san-francisco,89,62,.452,16,.313,19,.632,33,8,3,13,0,69,.464,32,.375,23,.565,41,6,1,14,71.40
608,Hawaii,85,san-francisco,75,55,.509,17,.529,24,.833,28,2,2,12,1,58,.466,21,.333,20,.700,29,6,2,13,50.00
609,Arizona-State,71,san-francisco,67,62,.419,12,.417,19,.737,40,7,2,12,0,66,.364,28,.286,16,.688,41,7,6,10,71.40
610,California,64,san-francisco,76,50,.420,14,.286,25,.720,30,7,2,15,0,58,.414,29,.414,21,.762,29,4,3,11,71.40
611,Cal-State-Fullerton,69,san-francisco,91,52,.519,13,.308,14,.786,25,6,1,15,1,64,.516,27,.407,17,.824,32,12,1,9,50.00
612,Stanford,64,san-francisco,56,48,.479,11,.364,19,.737,30,6,5,19,1,57,.386,30,.267,9,.444,28,10,1,22,50.00
613,UC-Davis,84,san-francisco,93,55,.509,19,.316,24,.917,27,6,3,13,0,62,.500,26,.346,29,.759,31,8,5,11,71.40
614,Fresno-State,69,san-francisco,71,60,.450,27,.333,13,.462,42,6,7,14,1,59,.390,31,.387,20,.650,27,9,4,6,50.00
615,Harvard,84,san-francisco,81,60,.567,17,.529,9,.778,34,6,4,19,0,63,.476,23,.304,19,.737,24,11,3,13,71.40
616,san-francisco,58,Saint-Mary's,69,60,.333,25,.240,17,.706,30,9,3,10,71.40,60,.433,11,.364,15,.867,41,5,3,11,0
617,Portland,76,san-francisco,65,51,.490,13,.538,24,.792,28,10,5,13,1,59,.424,28,.321,9,.667,32,7,4,19,50.00
618,san-francisco,80,Santa-Clara,61,55,.527,22,.364,17,.824,43,6,12,16,71.40,58,.328,12,.333,23,.826,23,9,3,10,0
619,san-francisco,79,Pacific,75,53,.509,21,.476,23,.652,30,3,2,13,50.00,61,.459,16,.313,21,.667,30,6,4,9,1
620,Loyola-Marymount,53,san-francisco,61,54,.389,23,.217,8,.750,31,7,1,9,0,44,.477,29,.310,15,.667,28,3,4,11,71.40
621,winthrop,67,Hartford,57,71,.366,28,.286,16,.438,42,7,2,11,58.30,54,.370,18,.278,19,.632,32,5,6,13,1
622,Fresno-State,77,winthrop,74,52,.481,24,.458,20,.800,36,5,3,14,1,63,.444,34,.382,9,.556,24,3,2,8,58.30
623,Saint-Mary's,59,winthrop,61,52,.404,17,.294,18,.667,31,6,4,14,1,56,.464,19,.263,10,.400,31,2,2,13,58.30
624,ETSU,61,winthrop,58,50,.420,21,.333,23,.522,30,7,6,11,1,54,.463,17,.294,9,.333,30,6,2,14,58.30
625,winthrop,103,Mid-Atlantic-Christian,59,65,.538,35,.400,27,.704,51,8,3,17,71.40,69,.333,28,.286,12,.417,27,8,1,16,0
626,winthrop,58,Tennessee-Tech,61,57,.386,24,.250,10,.800,29,12,2,15,71.40,56,.446,20,.300,6,.833,34,8,4,18,0
627,Pfeiffer,83,winthrop,127,71,.296,38,.342,39,.718,33,5,2,17,0,90,.567,39,.333,20,.600,59,7,7,11,71.40
628,winthrop,70,Duke,83,66,.439,21,.286,13,.462,31,7,2,13,58.30,57,.526,12,.583,22,.727,34,9,4,16,1
629,Coastal-Carolina,92,winthrop,88,53,.509,21,.524,35,.771,34,14,3,19,0,61,.459,35,.371,31,.613,34,6,1,15,71.40
630,TCU,70,winthrop,60,58,.483,25,.240,17,.471,35,10,6,14,1,65,.323,31,.258,17,.588,39,6,5,17,58.30
631,Furman,80,winthrop,73,60,.433,22,.364,28,.714,30,6,3,11,1,64,.438,28,.286,12,.750,39,6,2,16,58.30
632,winthrop,93,SIU-Edwardsville,73,59,.508,29,.517,22,.818,36,2,2,15,71.40,63,.476,19,.368,14,.429,23,8,3,9,0
633,Elon,80,winthrop,85,53,.453,33,.364,30,.667,32,3,4,12,0,57,.439,23,.391,42,.619,35,6,1,10,71.40
634,Longwood,67,winthrop,91,45,.400,19,.263,35,.743,35,6,1,22,0,74,.405,36,.444,26,.577,42,14,2,12,71.40
635,Campbell,72,winthrop,87,47,.511,15,.333,26,.731,23,4,4,17,1,53,.585,16,.500,29,.586,25,9,1,12,58.30
636,winthrop,79,High-Point,57,55,.509,25,.360,27,.519,34,8,1,15,58.30,51,.392,15,.200,30,.467,29,2,0,17,1
637,winthrop,99,Gardner-Webb,95,80,.400,36,.278,40,.625,52,8,2,19,71.40,71,.479,27,.296,28,.679,44,12,6,17,0
638,winthrop,116,Hampton,95,72,.569,20,.350,33,.818,45,6,1,13,58.30,67,.448,21,.286,38,.763,21,6,4,12,1
639,winthrop,61,Radford,56,57,.386,27,.222,23,.478,42,4,3,10,58.30,64,.328,29,.207,15,.533,38,6,1,8,1
640,USC-Upstate,53,winthrop,79,44,.386,13,.385,24,.583,25,5,1,18,0,60,.467,28,.321,18,.778,38,8,4,12,71.40
641,kansas,66,Duke,68,50,.460,9,.444,26,.615,40,11,5,26,80.00,64,.359,24,.333,23,.609,30,11,3,16,1
642,UNC-Greensboro,62,kansas,74,62,.387,31,.258,13,.462,32,5,3,9,0,59,.458,26,.385,19,.526,40,5,2,10,71.40
643,Monmouth,57,kansas,112,60,.300,22,.182,23,.739,27,4,3,15,0,66,.561,30,.467,31,.774,41,11,5,7,71.40
644,ETSU,63,kansas,75,60,.383,30,.300,15,.533,32,11,4,16,0,54,.556,14,.071,18,.778,29,14,8,15,71.40
645,kansas,93,Chaminade,63,69,.551,29,.414,11,.455,28,11,3,14,80.00,50,.460,21,.333,14,.714,25,8,0,27,1
646,BYU,56,kansas,71,54,.407,33,.273,4,.750,31,5,1,18,1,61,.475,18,.222,15,.600,34,9,1,12,80.00
